informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
junior Agronomist,ጁኒየር የግብርና ባለሙያ,P,agriculture,Agriculture
Junior Analyst,ጁኒየር ተንታኝ,P,Service,Consulting around natural science
Junior and Senior Accountant,ጁኒየር እና ከፍተኛ የሂሳብ ባለሙያ,P,Service,Accounting audit and adminstrative works
Junior and Senior Quality Control Engineer,ጁኒየር እና ከፍተኛ የጥራት ቁጥጥር መሐንዲስ,P,Service,Quality Management Consulting Service
Junior and Senior Researchers/ Consultants,ጁኒየር እና ከፍተኛ ተመራማሪዎች/ አማካሪዎች,P,Service,Consulting service around social science
Junior and senior sales representative,ጁኒየር እና ከፍተኛ የሽያጭ ተወካይ,P,Business,Wholesale business in specialized stores
Junior and senior Sells and Marketer,ጁኒየር እና ከፍተኛ ሽያጭ እና ገበያተኛ,P,Business,Wholesale business in specialized stores
Junior Anesthetist Professional,ጁኒየር ማደንዘዣ ባለሙ,P,Health,Health
junior architect,ጁኒየር አርክቴክት,P,Construction,Building Construction Contractor
Junior Architect and Draftsman,ጁኒየር አርክቴክት እና ንድፍ አውጪ,P,Construction,Building Construction Contractor
Junior Architect/Civil Engineer,ጁኒየር አርክቴክት / ሲቪል መሐንዲስ,P,Construction,Building Construction Contractor
Junior architect/model maker,ጁኒየር አርክቴክት/ሞዴል ሰሪ,P,Construction,Building Construction Contractor
Junior Assembly Technician,የጁኒየር መሰብሰቢያ ቴክኒሻን,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Junior Asset and Facility Management Officer,የጁኒየር ንብረት እና ፋሲሊቲ አስተዳደር ኦፊሰር,P,Service,General maintenance
Junior Asset Liabilities & Operational Risk Management Officer,የጁኒየር ንብረት እዳዎች እና የተግባር ስጋት አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Junior Assistant,ጁኒየር ረዳት,P,Service,Other services
Junior Assistant Agent,የጁኒየር ረዳት ወኪል,P,Service,Other services
Junior Assistant Mechanic,ጁኒየር ረዳት መካኒክ,P,Service,Motor vehicle repair work
Junior Assistant Physiotherapist,ጁኒየር ረዳት ፊዚዮቴራፒስት,P,Health,Health
Junior Associate,ጁኒየር ተባባሪ,P,Service,Other services
Junior ATM and POS Engineer,ጁኒየር ኤቲኤም እና POS መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Attorney,ጁኒየር ጠበቃ,P,Service,Other services
junior auditor,ጁኒየር ኦዲተር,P,Service,Accounting audit and adminstrative works
Junior Auto Electrician,ጁኒየር አውቶ ኤሌክትሪክ ባለሙያ,P,Service,Motor vehicle repair work
Junior Auto Mechanic,ጁኒየር አውቶ መካኒክ,P,Service,Motor vehicle repair work
Junior Automation and Drive Engineer,ጁኒየር አውቶሜሽን እና ድራይቭ መሐንዲስ,P,Manufacturing,Manufacture of electric oven
Junior Bank Reconciliation Accountant,የጁኒየር ባንክ ማስታረቅ አካውንታንት,P,Service,Accounting audit and adminstrative works
Junior blockchain and cryptocurrency researcher,ጁኒየር blockchain እና cryptocurrency ተመራማሪ,P,ICT and digital work,General research and experimental development work
Junior Branch Manager,ጁኒየር ቅርንጫፍ አስተዳዳሪ,P,Business,Wholesale business in specialized stores
Junior Brand Manager,ጁኒየር ብራንድ አስተዳዳሪ,P,Service,Business Promotion Service
Junior Budget Officer,ጁኒየር የበጀት ኦፊሰር,P,Service,Finance and Administration Services
Junior Building Construction Management Officer,የጁኒየር ሕንፃ ግንባታ አስተዳደር ኦፊሰር,P,Construction,Building Construction Contractor
Junior Building Manager,ጁኒየር የግንባታ ሥራ አስኪያጅ,P,Service,General maintenance
Junior Business Developer,ጁኒየር ንግድ ገንቢ,P,Service,Business Promotion Service
junior call center operator,ጁኒየር የጥሪ ማዕከል ኦፕሬተር,I,Service,Other services
Junior Car Technician,ጁኒየር የመኪና ቴክኒሻን,P,Service,Motor vehicle repair work
Junior Card Banking Officer,ጁኒየር ካርድ የባንክ ኦፊሰር,P,Service,Finance and Administration Services
Junior Carpenter,ጁኒየር አናጺ,U,Construction,"Carpenter, builder, and other similar construction works"
Junior cashier,ጁኒየር ገንዘብ ተቀባይ,P,Business,Mini Market
Junior Chef,ጁኒየር ሼፍ,P,Tourism and art,"Resturant,Coffee shop"
Junior chemical engineer,ጁኒየር የኬሚካል መሐንዲስ,P,Manufacturing,Chemical Manufacturing
Junior Chemist,ጁኒየር ኬሚስት,P,Manufacturing,Chemical Manufacturing
Junior Chemist /product quality controller/,ጁኒየር ኬሚስት / የምርት ጥራት ተቆጣጣሪ/,P,Manufacturing,Chemical Manufacturing
Junior Chemistry Analyst,ጁኒየር ኬሚስትሪ ተንታኝ,P,Manufacturing,Chemical Manufacturing
Junior Cheque Clearance Officer,የጁኒየር ቼክ ማጽጃ ኦፊሰር,P,Service,Finance and Administration Services
Junior Civil Engineer,ጁኒየር ሲቪል መሐንዲስ,P,Economic Infrastructure,Building Construction
Junior Claim Officer - Health and Life Insurance,ጁኒየር የይገባኛል ጥያቄ መኮንን - የጤና እና የሕይወት መድን,P,Service,Finance and Administration Services
Junior Claims and Recovery Officer,የጁኒየር የይገባኛል ጥያቄዎች እና መልሶ ማግኛ ኦፊሰር,P,Service,Finance and Administration Services
Junior Clearing and Settlement Officer,የጁኒየር ማጽዳት እና ማቋቋሚያ ኦፊሰር,P,Service,Finance and Administration Services
Junior Climate Change Advisor,ጁኒየር የአየር ንብረት ለውጥ አማካሪ,P,Service,Consulting around natural science
Junior clinical and Midwife nurses,ጁኒየር ክሊኒካዊ እና አዋላጅ ነርሶች,P,Health,Health
Junior Clinical Nurse,ጁኒየር ክሊኒካል ነርስ,P,Health,Health
Junior Coffee Sampler,ጁኒየር ቡና ናሙና,U,agriculture,Coffee cultivation
Junior Collateral Valuator,ጁኒየር ኮላተራል ቫልዩተር,P,Service,Finance and Administration Services
Junior Commercial Officer,ጁኒየር የንግድ ኦፊሰር,P,Business,Wholesale business in specialized stores
Junior Communication & Documentation Officer,ጁኒየር ኮሙኒኬሽን እና ሰነድ ኦፊሰር,P,Service,Information and Communication Technology Consulting Service
Junior Compliance Officer,የጁኒየር ተገዢነት ኦፊሰር,P,Service,Finance and Administration Services
Junior Construction Engineer,ጁኒየር የግንባታ መሐንዲስ,P,Construction,General Contractor (Except for the from Water works contractor
Junior Construction Manager,ጁኒየር የግንባታ ሥራ አስኪያጅ,P,Construction,General Contractor (Except for the from Water works contractor
Junior Consultant,ጁኒየር አማካሪ,P,Service,Consulting service around social science
Junior consultant in Economics,በኢኮኖሚክስ ውስጥ ጀማሪ አማካሪ,P,Service,Research and Experimental Development Works on Economics and Development
Junior Container Documentation Officer,የጁኒየር ኮንቴይነር ሰነድ ኦፊሰር,P,"Logistics, transportation and communication",Freight Transportation
Junior Contract Administration Engineer,ጁኒየር ኮንትራት አስተዳደር መሐንዲስ,P,Construction,General Contractor (Except for the from Water works contractor
Junior Control And Compliance Officer,ጁኒየር ቁጥጥር እና ተገዢነት ኦፊሰር,P,Service,Inspection
Junior Cooperative Advisor,ጁኒየር የትብብር አማካሪ,P,Service,Consulting service around social science
Junior Core Banking Systems Pre Sales Engineer,ጁኒየር ኮር ባንኪንግ ሲስተምስ የቅድመ ሽያጭ መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
junior corporate sales Officer,ጁኒየር የኮርፖሬት ሽያጭ ኦፊሰር,P,Business,Wholesale business in specialized stores
Junior Cost & Budget Accountant,የጁኒየር ወጭ እና የበጀት አካውንታንት,P,Service,Accounting audit and adminstrative works
Junior Credit Officer,ጁኒየር ክሬዲት ኦፊሰር,P,Service,Finance and Administration Services
"Junior Crisis, Conflict, Disaster Advisor","ጁኒየር ቀውስ, ግጭት, የአደጋ አማካሪ",P,Service,Social work services
Junior Customer Accounts and Due Diligence Officer,ጁኒየር የደንበኛ መለያዎች እና ተገቢ ትጋት ኦፊሰር,P,Service,Finance and Administration Services
Junior Customer Care officer,ጁኒየር የደንበኛ እንክብካቤ መኮንን,P,Service,Other services
Junior Customer Relation Officers/External,ጁኒየር የደንበኞች ግንኙነት ኦፊሰሮች/ውጫዊ,P,Service,Other services
Junior Customs Assessor,ጁኒየር የጉምሩክ ገምጋሚ,P,Service,Inspection
Junior Customs Clearing Officer,ጁኒየር የጉምሩክ ማጽዳት ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Junior Customs Transitor,ጁኒየር ጉምሩክ ትራንዚተ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Junior data analyst,ጁኒየር መረጃ ተንታኝ,P,ICT and digital work,Database organization and data processing
Junior Data Center Engineer,ጁኒየር የውሂብ ማዕከል መሐንዲስ,P,ICT and digital work,Data Center Hosting Services
Junior Data Encoder,ጁኒየር ዳታ ኢንኮደር,P,ICT and digital work,Database organization and data processing
Junior Data Engineer,ጁኒየር የውሂብ መሐንዲስ,P,ICT and digital work,Database organization and data processing
Junior Data Entry & Administrative Clerk,ጁኒየር የውሂብ ግቤት እና የአስተዳደር ጸሐፊ,P,Service,Accounting audit and adminstrative works
Junior Data Specialist,ጁኒየር የውሂብ ስፔሻሊስት,P,ICT and digital work,Database organization and data processing
Junior Data Technician,ጁኒየር የውሂብ ቴክኒሻን,P,ICT and digital work,Database organization and data processing
Junior Delivery Driver,ጁኒየር መላኪያ ሹፌር,I,"Logistics, transportation and communication",Other supportive transportation services
Junior dental surgeon,ጁኒየር የጥርስ ሐኪም,P,Health,Health
Junior Designer,ጁኒየር ዲዛይነር,P,Service,Other services
Junior Desktop Technician,ጁኒየር ዴስክቶፕ ቴክኒሽያን,P,ICT and digital work,Computer network design deployment and implementation tasks
Junior direct/showroom sales,ጁኒየር ቀጥታ/ማሳያ ክፍል ሽያጭ,P,Business,Retail trade in specialized stores
Junior Documentation Officer,ጁኒየር ሰነድ ኦፊሰር,P,Service,Other services
Junior Drafter Person,ጁኒየር ረቂቅ ሰው,P,Economic Infrastructure,Surveying & Drafting
Junior druggist,ጁኒየር መድሃኒት ባለሙያ,P,Health,Health
Junior Economist,ጁኒየር ኢኮኖሚስት,P,Service,Consulting service around social science
Junior Editor,ጁኒየር አርታዒ,P,Service,Media programming
Junior Electrical and Instrument Technician CUM Machinery Attendant,ጁኒየር ኤሌክትሪክ እና መሳሪያ ቴክኒሻን CUM ማሽነሪ ረዳት,P,Manufacturing,Electrical equipment and utilities Manufacturing
Junior electrical engineer,ጁኒየር የኤሌክትሪክ መሐንዲስ,P,Economic Infrastructure,Electro technology
Junior Electromechanical Technician,ጁኒየር ኤሌክትሮሜካኒካል ቴክኒሻን,P,Manufacturing,Electrical equipment and utilities Manufacturing
Junior Elevator Mechanical Technician,ጁኒየር ሊፍት ሜካኒካል ቴክኒሽያን,P,Construction,Electro-Mechanical Contractor
Junior Energy Consultants,ጁኒየር ኢነርጂ አማካሪዎች,P,Economic Infrastructure,Energy
junior Engineer,ጁኒየር ኢንጂነር,P,Economic Infrastructure,Electro technology
Junior Environmental Health Agent,ጁኒየር የአካባቢ ጤና ወኪል,P,Service,Other health activities
Junior Equipment Administrator,ጁኒየር መሣሪያዎች አስተዳዳሪ,P,Service,Equipment and machine installation and maintenance service
Junior ERP functional consultant,ጁኒየር ኢአርፒ ተግባራዊ አማካሪ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Event Coordinator,የጁኒየር ክስተት አስተባባሪ,P,Service,Special event coordination
Junior Explorations Geologist,Junior Explorations ጂኦሎጂስት,P,Mining and Quarrying,Mining works
Junior Export Officer,ጁኒየር ኤክስፖርት ኦፊሰር,P,Business,Wholesale business in specialized stores
Junior External Relations Officer,ጁኒየር የውጭ ግንኙነት ኃላፊ,P,Service,Other services
Junior Facility Officer,የጁኒየር ፋሲሊቲ ኦፊሰር,P,Service,General maintenance
Junior Fast Food Chief,ጁኒየር ፈጣን ምግብ አለቃ,P,Tourism and art,"Resturant,Coffee shop"
Junior tv program host,የጁኒየር ቲቪ ፕሮግራም አስተናጋጅ,P,Tourism and art,Motion Picture Works
Junior Field Researcher,ጁኒየር የመስክ ተመራማሪ,P,Service,Research and experimental development activities in agriculture and animal husbandry
Junior Field sales officer,ጁኒየር መስክ የሽያጭ መኮንን,P,Business,Food Products Retail
Junior Field Service Engineer,ጁኒየር የመስክ አገልግሎት መሐንዲስ,P,Service,Equipment and machine installation and maintenance service
Junior Firefighting Technician,ጁኒየር የእሳት አደጋ መከላከያ ቴክኒሻን,P,Service,Other services
Junior flutter developer,ጁኒየር ፍሉተር ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Foreman,ጁኒየር ፎርማን,I,Construction,General Contractor (Except for the from Water works contractor
JUNIOR FREIGHT FORWARDING OFFICER,ጁኒየር ጭነት ማስተላለፊያ ኦፊሰር,P,"Logistics, transportation and communication",Freight Transportation
Junior Frontend Developer,Junior Frontend ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Functional Consultant,ጁኒየር ተግባራዊ አማካሪ,P,Service,Information and Communication Technology Consulting Service
Junior Furniture Officer/Worker,ጁኒየር የቤት ዕቃዎች ኦፊሰር/ሰራተኛ,P,Manufacturing,Manufacture of home and office furniture
Junior General Accountant,ጁኒየር አጠቃላይ አካውንታንት,P,Service,Accounting audit and adminstrative works
Junior General Maintenance,የጁኒየር አጠቃላይ ጥገና,P,Service,General maintenance
Junior General Medical practitioner,ጁኒየር አጠቃላይ የሕክምና ባለሙያ,P,Health,Health
Junior General Service Officer,ጁኒየር አጠቃላይ አገልግሎት ኦፊሰር,P,Service,Other services
Junior Geologist,ጁኒየር ጂኦሎጂስት,P,Mining and Quarrying,Mining works
Junior Grant Office / Data Management & Reporting /,የጁኒየር ግራንት ቢሮ / የውሂብ አስተዳደር እና ሪፖርት ማድረግ /,P,Service,Other services
Junior Graphic Artwork Designer,ጁኒየር ግራፊክ ጥበብ ስራ ዲዛይነር,P,Service,Advertising
Junior Hardware Technician,ጁኒየር ሃርድዌር ቴክኒሽያን,P,ICT and digital work,Software Design Development and Implementation Works
Junior Home Tutor,ጁኒየር የቤት አስጠኚ,I,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Junior Host/ Hostess,ጁኒየር አስተናጋጅ/ አስተናጋጅ,I,Tourism and art,"Resturant,Coffee shop"
Junior HPE (Health and Physical Education) teacher,ጁኒየር HPE (የጤና እና የአካል ትምህርት) መምህር,P,Service,Primary and secondary education
Junior HR & Admin Officer,ጁኒየር የሰው ኃይል እና የአስተዳዳሪ ኦፊሰር,P,Service,Other services
Junior IE,ጁኒየር IE,P,Service,Other services
Junior Illustrators,ጁኒየር ማሳያዎች,P,Service,Advertising
Junior Import & Export Documentation Officer,ጁኒየር አስመጪ እና ላኪ ሰነድ ኦፊሰር,P,Business,Wholesale business in specialized stores
Junior Information Management & Documentation Expert,ጁኒየር መረጃ አስተዳደር እና ሰነድ ባለሙያ,P,Service,Library and Archives Services
Junior Information Technologist,የጁኒየር መረጃ ቴክኖሎጂ ባለሙያ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Inspector,ጁኒየር ኢንስፔክተር,P,Service,Inspection
Junior Interest Free Banking Officer,ጁኒየር ከወለድ ነፃ የባንክ ኦፊሰር,P,Service,Finance and Administration Services
Junior Interior designer,ጁኒየር የውስጥ ዲዛይነር,P,Service,Decoration works
Junior Interview Questioner Creator,ጁኒየር ቃለ መጠይቅ ጠያቂ ፈጣሪ,U,Service,Other services
Junior Investigation and Enforcement Officer,ጁኒየር ምርመራ እና ማስፈጸሚያ ኦፊሰር,P,Service,Security Service
Junior investment expert,ጁኒየር የኢንቨስትመንት ባለሙያ,P,Service,Finance and Administration Services
Junior IP Local Engineer,ጁኒየር IP የአካባቢ መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
Junior IT,ጁኒየር አይቲ,P,ICT and digital work,Software Design Development and Implementation Works
junior IT Administrator,ጁኒየር የአይቲ አስተዳዳሪ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Jewelery Maker,ጁኒየር ጌጣጌጥ ሰሪ,U,Manufacturing,"Manufacture of metal products, tanks, reservoirs used for structure"
Junior Journalist,ጁኒየር ጋዜጠኛ,P,Sport Culture and tourism,Journalism
Junior Laboratory Technologist,ጁኒየር የላቦራቶሪ ቴክኖሎጂ ባለሙያ,P,Service,Laboratory test
Junior Laravel Developer,ጁኒየር ላራቭል ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Learning & Development Officer,የጁኒየር ትምህርት እና ልማት ኦፊሰር,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Junior Legal Advisor,ጁኒየር የህግ አማካሪ,P,Service,Other services
Junior level geologist,ጁኒየር ደረጃ ጂኦሎጂስት,P,Mining and Quarrying,Mining works
Junior Liaison and Transit Officer,የጁኒየር ግንኙነት እና ትራንዚት ኦፊሰር,P,"Logistics, transportation and communication",Other supportive transportation services
Junior Liason Office,ጁኒየር ግንኙነት ቢሮ,P,Service,Other services
Junior Librarian,ጁኒየር ላይብረሪያን,P,Service,Library and Archives Services
Junior Lift Technical,ጁኒየር ሊፍት ቴክኒካል,P,Service,Equipment and machine installation and maintenance service
Junior logistic officer,ጁኒየር የሎጂስቲክስ መኮንን,P,"Logistics, transportation and communication",Other supportive transportation services
Junior Logistic Officer Trainee,ጁኒየር የሎጂስቲክስ ኦፊሰር ሰልጣኝ,P,"Logistics, transportation and communication",Other supportive transportation services
Junior Machine Operator,ጁኒየር ማሽን ኦፕሬተር,P,Manufacturing,Another unmentioned factory works
Junior Maintenance Planner,የጁኒየር ጥገና እቅድ አውጪ,P,Service,General maintenance
Juniormodels,ጁኒየር ሞዴሎች,P,Tourism and art,Fashion and beauty pageants
junior Manager,ጁኒየር አስተዳዳሪ,P,Service,Other services
Junior Managing Assistant,ጁኒየር ማኔጅመንት ረዳት,P,Service,Other services
Junior market developer,ጁኒየር ገበያ ገንቢ,P,Business,Wholesale business in specialized stores
Junior Market Surveyor,ጁኒየር ገበያ ቀያሽ,P,Service,Business Promotion Service
Junior marketer,ጁኒየር ገበያተኛ,P,Service,Business Promotion Service
junior mecanical engineer,ጁኒየር መካኒካል መሐንዲስ,P,Service,Engineering Consulting Service
Junior media analyst,ጁኒየር ሚዲያ ተንታኝ,P,Service,Media programming
Junior Medical Laboratory Technologist,ጁኒየር ሜዲካል ላብራቶሪ ቴክኖሎጅስት,P,Health,Health
Junior Microbiologist,ጁኒየር ማይክሮባዮሎጂስት,P,Service,Research and experimental development work in biology and chemistry
Junior Monitoring & Evaluation Advisor,የጁኒየር ክትትል እና ግምገማ አማካሪ,P,Service,Consulting service around social science
Junior Monitoring and Evaluation Officer,የጁኒየር ክትትል እና ግምገማ ኦፊሰር,P,Service,Consulting service around social science
Junior Network & System Administrator,ጁኒየር አውታረ መረብ እና የስርዓት አስተዳዳሪ,P,ICT and digital work,Computer network design deployment and implementation tasks
Junior nurse,ጁኒየር ነርስ,P,Health,Health
Junior online Researcher,service,P,Service,General research and experimental development work
Junior Operation and Client Care Expert,የጁኒየር ኦፕሬሽን እና የደንበኛ እንክብካቤ ባለሙያ,P,Service,Business Promotion Service
Junior Optometrist,ጁኒየር የዓይን ሐኪም,P,Health,Health
Junior outdoor sales,ጁኒየር የውጪ ሽያጭ,I,Business,Food Products Retail
Junior Pediatric Nurse,ጁኒየር የሕፃናት ነርስ,P,Health,Health
Junior People Operation Liaison,የጁኒየር ሰዎች ኦፕሬሽን ግንኙነት,P,Service,Employment agencies and recruitment agencies
Junior pharmacist,ጁኒየር ፋርማሲስት,P,Health,Health
Junior Photographer,ጁኒየር ፎቶ አንሺ,P,Service,Photographic works
Junior physiotherapist,ጁኒየር ፊዚዮቴራፒስት,P,Health,Health
Junior Plumber,ጁኒየር የቧንቧ ሰራተኛ,P,Construction,Plumbing Contractor
Junior Primary Health Care Partnership officer,ጁኒየር የመጀመሪያ ደረጃ የጤና እንክብካቤ አጋርነት መኮንን,P,Health,Health
Junior Principal IT System Security Officer,ጁኒየር ዋና የአይቲ ሲስተም ደህንነት ኦፊሰር,P,ICT and digital work,Software Design Development and Implementation Works
Junior Procurement & Property Administration Officer,የጁኒየር ግዥ እና ንብረት አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Junior Production Engineer,ጁኒየር ምርት መሐንዲስ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Junior Production Pharmacist,ጁኒየር ምርት ፋርማሲስት,P,Manufacturing,Manufacture of pesticides and other agricultural chemicals
Junior Production Supervisor,ጁኒየር የምርት ተቆጣጣሪ,P,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers"
Junior Project Administration,ጁኒየር ፕሮጀክት አስተዳደር,P,Service,Finance and Administration Services
Junior Project Appraisal Officer,ጁኒየር የፕሮጀክት ምዘና ኦፊሰር,P,Service,Finance and Administration Services
Junior project Auditor,ጁኒየር ፕሮጀክት ኦዲተር,P,Service,Accounting audit and adminstrative works
Junior Project Equipment Administrator,ጁኒየር የፕሮጀክት እቃዎች አስተዳዳሪ,P,Service,Finance and Administration Services
Junior Property Valuation Engineer,የጁኒየር ንብረት ዋጋ መሐንዲስ,P,Service,Estimating the cost of housing sales and collecting rental income
Junior psychologist,ጁኒየር ሳይኮሎጂስት,P,Service,Research and experimental development work in psychology
Junior Quality Assurance Officer,ጁኒየር የጥራት ማረጋገጫ መኮንን,P,Service,Quality Management Consulting Service
Junior Quality Control Expert,ጁኒየር የጥራት ቁጥጥር ባለሙያ,P,Service,Quality Management Consulting Service
"Junior Quality, Health, Safety, and Environment (QHSE) Officer",የጁኒየር ጥራት፣ ጤና፣ ደህንነት እና አካባቢ ኦፊሰር,P,Service,Occupational Safety and Health Care Consulting Service
Junior Radiology Technologist,የጁኒየር ራዲዮሎጂ ቴክኖሎጂ ባለሙያ,P,Health,Health
Junior Real Estate Field Sales,ጁኒየር ሪል እስቴት የመስክ ሽያጭ,P,Service,Estimating the cost of housing sales and collecting rental income
Junior Receptionist,ጁኒየር ተቀባይ,P,Service,Other services
Junior Recruiter,ጁኒየር መልማይ,U,Service,Employment agencies and recruitment agencies
Junior Registrar and Student Support,የጁኒየር ሬጅስትራር እና የተማሪ ድጋፍ,U,Service,Primary and secondary education
Junior Regulatory Officer,ጁኒየር የቁጥጥር ኦፊሰር,P,Economic Infrastructure,Legal Metrology
junior reporter,ጁኒየር ዘጋቢ,P,Sport Culture and tourism,Journalism
Junior Reward & Employee Services Officer,የጁኒየር ሽልማት እና የሰራተኛ አገልግሎት ኦፊሰር,P,Service,Other services
Junior Safety Engineer,ጁኒየር የደህንነት መሐንዲስ,P,Service,Occupational Safety and Health Care Consulting Service
Junior Snack Processing Operator,ጁኒየር መክሰስ ፕሮሰሲንግ ኦፕሬተር,P,Manufacturing,Manufacture of almond/ peanut/ foods
Junior Social Development Officer,ጁኒየር ሶሻል ዴቨሎፕመንት አፊሰር,P,Service,Social work services
Junior Springboot Developer,ICT,P,ICT and digital work,Software Design Development and Implementation Works
Junior Statician /Economist,ጁኒየር ስታቲሺያን / ኢኮኖሚስት,P,Service,Consulting service around social science
Junior Store Custodian,ጁኒየር መደብር ጠባቂ,P,Business,Retail trade in specialized stores
Junior Street Videographers,ጁኒየር የመንገድ ቪዲዮ አንሺዎች,P,Tourism and art,Filmmaking and related work
Junior Supply Chain Officer,የጁኒየር አቅርቦት ሰንሰለት ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Junior Surveillance,ጁኒየር ክትትል,P,Service,Security Service
Junior Surveying,ጁኒየር ዳሰሳ,P,Economic Infrastructure,Surveying & Drafting
Junior tailor,የልብስ ሰፊ ባለሙያ,U,Manufacturing,Prepared clothes (hairdressing Excluding) manufacturing
Junior Tax Calculater,ጁኒየር ታክስ ማስያ,P,Service,Accounting and auditing Jobs
Junior Tax Declaration Information Organization Officer,የጁኒየር ታክስ መግለጫ የመረጃ ድርጅት ኦፊሰር,P,Service,Accounting and auditing Jobs
Junior Teacher for Affan Oromo,ጀማሪ መምህር ለአፋን ኦሮሞ,P,Service,Primary and secondary education
JUNIOR TEAM COORDINATOR,ጀማሪ ቡድን አስተባባሪ,P,Service,Special event coordination
Junior Telemarketing,ጁኒየር ቴሌማርኬቲንግ,U,Service,Advertising
Junior Tender Engineer (Officer),የጨረታ ሥራ መሃንዲስ,P,Service,Architecture Construction and Related Consultations
Junior Tender Officer,ጀማሪ የጨረታ ኦፊሰር,P,Service,Architecture Construction and Related Consultations
Junior Tour Operator,ጁኒየር ጉብኝት ኦፕሬተር,P,Tourism and art,Travel Agent and Related Services
Junior Trainer,ጁኒየር አሰልጣኝ,P,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Junior TV program host,ጁኒየር የቲቪ ፕሮግራም አስተናጋጅ,P,Tourism and art,Motion Picture Works
Junior UI/UX intern,ጁኒየር UI/UX ተለማማጅ,P,ICT and digital work,Software Design Development and Implementation Works
Junior Underwriter Trainee,ጁኒየር ደራሲ ሰልጣኝ,P,Service,Finance and Administration Services
