"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence","subsector_isco4","filter_applied","n_dropped","dropped_labels"
"Mathematics teacher","የሂሳብ መምህር","P","Education","other","minilm","5","0.9592","exact","mathematics teacher at secondary school","http://data.europa.eu/esco/occupation/f0e1cc13-48e0-4995-8699-ee43467bce0d","0.9592","exact","mathematics lecturer","http://data.europa.eu/esco/occupation/dab9c6dd-8efb-4fe2-8b10-477ef2bcfd8b","0.9120","high_confidence","mathematician","http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2","0.8655","high_confidence","early years teacher","http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83","0.8528","high_confidence","secondary school teacher","http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6","0.8454","low_similarity","","no","0",""
"Promoter","አስተዋዋቂ","I","Service","Business Promotion Service","minilm","5","1.0000","exact","promoter","http://data.europa.eu/esco/occupation/21ae429f-a152-46a6-a73c-9ec65c7803f0","1.0000","exact","regulatory affairs manager","http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f","0.7886","low_similarity","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.7713","low_similarity","commercial director","http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1","0.7680","low_similarity","spokesperson","http://data.europa.eu/esco/occupation/b89ba3a8-f03a-46b8-ac54-c87d7204aad0","0.7670","low_similarity","","no","0",""
"Ticket Distribution Agent","የቲኬት ማከፋፈያ ወኪል","I","Tourism and art","Travel Agent and Related Services","minilm","1","0.9411","high_confidence","ticket sales agent","http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7","0.9411","high_confidence","","","","","","","","","","","","","","","","","4221.0","yes","4","shipping agent; ticket issuing clerk; distribution manager; logistics and distribution manager"
"Social Media Manager","የአማርኛ YouTube ቻናል","I","Service","Advertising","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2431.0","yes","5","social services manager; public relations manager; marketing manager; corporate social responsibility manager; advertising manager"
"Video Editor","ቪዲዮ ኤዲተር","I","Tourism and art","Filmmaking and related work","minilm","5","0.9342","high_confidence","video and motion picture editor","http://data.europa.eu/esco/occupation/ac734172-ae9a-41ab-80a0-a7b33694e027","0.9342","high_confidence","picture editor","http://data.europa.eu/esco/occupation/72add02e-ae39-4dfb-8047-ced4c1a347f5","0.8587","high_confidence","performance video designer","http://data.europa.eu/esco/occupation/c995fe34-0909-4ce3-b7b7-97945efede56","0.8246","low_similarity","video and motion picture producer","http://data.europa.eu/esco/occupation/3b6bea7d-36f4-44fb-ac73-d1cc8a198dcb","0.8229","low_similarity","sound editor","http://data.europa.eu/esco/occupation/36095ccd-c62d-4f1f-8af7-1fd10618b044","0.8154","low_similarity","","no","0",""
"Branch Manager","ቅርንጫፍ ሥራ አስኪያጅ","P","Business","Wholesale business in specialized stores","minilm","5","1.0000","exact","branch manager","http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457","1.0000","exact","bank manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","0.8311","low_similarity","department manager","http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c","0.8062","low_similarity","corporate banking manager","http://data.europa.eu/esco/occupation/d2d451cc-e839-4192-be54-d7724814aa03","0.8012","low_similarity","business manager","http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7","0.7990","low_similarity","","no","0",""
"Corporate Affairs Manager","የኮርፖሬት ጉዳዮች ሥራ አስኪያጅ","P","Service","Finance and Administration Services","minilm","5","0.8800","high_confidence","business manager","http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7","0.8800","high_confidence","regulatory affairs manager","http://data.europa.eu/esco/occupation/779d13be-60b4-48f3-a339-fe483be96c7f","0.8736","high_confidence","corporate social responsibility manager","http://data.europa.eu/esco/occupation/1313aeea-63a9-4b4d-82d1-dbe00ff9ed10","0.8634","high_confidence","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8571","high_confidence","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.8557","high_confidence","","no","0",""
"Expert Grant proposal writer","ኤክስፐርት ግራንት ፕሮፖዛል ጸሐፊ","P","Service","Research and Experimental Development Works on Economics and Development","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2631.0","yes","5","grants management officer; grants administrator; public funding advisor; intellectual property consultant; programme funding manager"
"Junior account manager","ጁኒየር መለያ አስተዳዳሪ","P","Service","Business Promotion Service","minilm","5","0.8591","high_confidence","bank account manager","http://data.europa.eu/esco/occupation/5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6","0.8591","high_confidence","sales account manager","http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d","0.8356","low_similarity","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8246","low_similarity","ICT account manager","http://data.europa.eu/esco/occupation/89b85c45-ddc7-4fe1-be5a-d3db2be11f3b","0.8098","low_similarity","bank manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","0.8089","low_similarity","","no","0",""
"Junior Accounting Officer","Finance","P","Service","Accounting audit and adminstrative works","minilm","5","0.8885","high_confidence","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8885","high_confidence","accountant","http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897","0.8774","high_confidence","accounting assistant","http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6","0.8739","high_confidence","accounting analyst","http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6","0.8675","high_confidence","public finance accountant","http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830","0.8395","low_similarity","","no","0",""
"Junior Accounting Specialist","ጁኒየር የሂሳብ ባለሙያ","P","Service","Accounting audit and adminstrative works","minilm","5","0.8745","high_confidence","accounting analyst","http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6","0.8745","high_confidence","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8729","high_confidence","accountant","http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897","0.8687","high_confidence","accounting assistant","http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6","0.8489","low_similarity","public finance accountant","http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830","0.8171","low_similarity","","no","0",""
"Junior Admin and Finance Associate","ጁኒየር አስተዳዳሪ እና ፋይናንስ ተባባሪ","P","Service","Finance and Administration Services","minilm","5","0.8296","low_similarity","financial markets back office administrator","http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a","0.8296","low_similarity","loan officer","http://data.europa.eu/esco/occupation/8e185c49-704e-49c0-8584-a7e0b618f628","0.8085","low_similarity","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.8048","low_similarity","public finance accountant","http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830","0.7944","low_similarity","student financial support coordinator","http://data.europa.eu/esco/occupation/c227dcff-dd84-487e-a171-da3d919129bb","0.7923","low_similarity","","no","0",""
"Junior Administrative & Marketing Assistant","ጁኒየር አስተዳደር እና ግብይት ረዳት","P","Service","Business Promotion Service","minilm","5","0.8975","high_confidence","marketing assistant","http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344","0.8975","high_confidence","administrative assistant","http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652","0.8610","high_confidence","executive assistant","http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44","0.8451","low_similarity","management assistant","http://data.europa.eu/esco/occupation/8cce40c1-4479-47e7-b5fc-c976631d919f","0.8399","low_similarity","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.8303","low_similarity","","no","0",""
"Junior Advisor Gender & Peace for Response to SGBV","ጀማሪ አማካሪ ጾታ እና ሰላም ለኤስጂቢቪ ምላሽ","P","Service","Social work services","minilm","5","0.7106","low_similarity","humanitarian advisor","http://data.europa.eu/esco/occupation/3fa31588-2e4d-49c3-b839-4b615cc62742","0.7106","low_similarity","viticulture adviser","http://data.europa.eu/esco/occupation/b9e51ff4-d7fb-4653-bc72-65086ffc6e65","0.7016","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.6987","low_similarity","academic advisor","http://data.europa.eu/esco/occupation/abab3d6a-82b9-49bd-8a4b-7bc678130558","0.6898","low_similarity","international relations officer","http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff","0.6846","low_similarity","","no","0",""
"Junior Advisor Sustainable Energy","ጁኒየር አማካሪ ዘላቂ ኃይል","P","Economic Infrastructure","Energy","minilm","5","0.8463","low_similarity","energy consultant","http://data.europa.eu/esco/occupation/de74eb4e-c95e-425a-9b3a-7be805ec0321","0.8463","low_similarity","energy conservation officer","http://data.europa.eu/esco/occupation/23a61ff1-c954-4867-b982-a018b535f98b","0.8448","low_similarity","renewable energy consultant","http://data.europa.eu/esco/occupation/114e1eff-215e-47df-8e10-45a5b72f8197","0.8432","low_similarity","energy analyst","http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d","0.8208","low_similarity","sustainability manager","http://data.europa.eu/esco/occupation/2cf2b905-3308-4b5d-8e8d-633fc7a3f3ce","0.8038","low_similarity","","no","0",""
"Junior Advocacy officer","ጁኒየር አድቮኬሲ ኦፊሰር","P","Service","Social work services","minilm","5","0.8324","low_similarity","activism officer","http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0","0.8324","low_similarity","legal policy officer","http://data.europa.eu/esco/occupation/5d601b40-7e0e-404e-bbff-bb98e147437c","0.8140","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.8087","low_similarity","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","0.8059","low_similarity","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.7998","low_similarity","","no","0",""
"Junior Agency Banking Officer","ጁኒየር ኤጀንሲ የባንክ ኦፊሰር","P","Service","Finance and Administration Services","minilm","5","0.8540","high_confidence","corporate banking manager","http://data.europa.eu/esco/occupation/d2d451cc-e839-4192-be54-d7724814aa03","0.8540","high_confidence","bank manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","0.8495","low_similarity","loan officer","http://data.europa.eu/esco/occupation/8e185c49-704e-49c0-8584-a7e0b618f628","0.8420","low_similarity","bank account manager","http://data.europa.eu/esco/occupation/5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6","0.8285","low_similarity","corporate investment banker","http://data.europa.eu/esco/occupation/244a79eb-122b-4bee-8065-b4c39efce4ff","0.8191","low_similarity","","no","0",""
"Junior agent sales support officer","የጁኒየር ወኪል የሽያጭ ድጋፍ መኮንን","P","Business","Retail trade in specialized stores","minilm","5","0.8425","low_similarity","sales support assistant","http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100","0.8425","low_similarity","sales assistant","http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df","0.8257","low_similarity","advertising sales agent","http://data.europa.eu/esco/occupation/f5332f2d-3119-4194-8b5c-d0a5d97f55ef","0.8163","low_similarity","employment agent","http://data.europa.eu/esco/occupation/42a96d07-1e1d-49ae-9399-c1f4be27ddea","0.8097","low_similarity","ticket sales agent","http://data.europa.eu/esco/occupation/bdf2dd9d-6c92-46f4-a8e7-76c12302d3e7","0.7995","low_similarity","","no","0",""
"junior Agronomist","ጁኒየር የግብርና ባለሙያ","P","agriculture","Agriculture","minilm","5","0.8954","high_confidence","agronomist","http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2","0.8954","high_confidence","agronomic crop production team leader","http://data.europa.eu/esco/occupation/f5e80af5-eebe-4133-878a-5dc5ef34fe93","0.7639","low_similarity","horticulture production team leader","http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a","0.7307","low_similarity","agricultural technician","http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8","0.7278","low_similarity","youth worker","http://data.europa.eu/esco/occupation/b7507136-e71e-47e8-b873-e77d5cdf2922","0.7216","low_similarity","","no","0",""
"Junior Analyst","ጁኒየር ተንታኝ","P","Service","Consulting around natural science","minilm","5","0.8774","high_confidence","middle office analyst","http://data.europa.eu/esco/occupation/276a4ff1-a67c-4677-9f20-dc85f1060e1b","0.8774","high_confidence","business analyst","http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed","0.8606","high_confidence","financial analyst","http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c","0.8439","low_similarity","securities analyst","http://data.europa.eu/esco/occupation/076d23f3-a689-4f1a-8b55-ae870c9aaa85","0.8420","low_similarity","investment analyst","http://data.europa.eu/esco/occupation/b7f47c25-bdf3-42fa-a68e-ad32754b2dba","0.8389","low_similarity","","no","0",""
"Junior and Senior Accountant","ጁኒየር እና ከፍተኛ የሂሳብ ባለሙያ","P","Service","Accounting audit and adminstrative works","minilm","5","0.8790","high_confidence","accountant","http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897","0.8790","high_confidence","public finance accountant","http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830","0.8311","low_similarity","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8074","low_similarity","accounting assistant","http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6","0.8023","low_similarity","accounting analyst","http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6","0.8003","low_similarity","","no","0",""
"Junior and Senior Quality Control Engineer","ጁኒየር እና ከፍተኛ የጥራት ቁጥጥር መሐንዲስ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; quality engineering technician; industrial quality manager; production engineer; maintenance and repair engineer"
"Junior and Senior Researchers/ Consultants","ጁኒየር እና ከፍተኛ ተመራማሪዎች/ አማካሪዎች","P","Service","Consulting service around social science","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2632.0","yes","5","business consultant; educational researcher; academic advisor; marketing consultant; ICT research consultant"
"Junior and senior sales representative","ጁኒየር እና ከፍተኛ የሽያጭ ተወካይ","P","Business","Wholesale business in specialized stores","minilm","5","0.8517","high_confidence","commercial sales representative","http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2","0.8517","high_confidence","technical sales representative","http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8","0.8374","low_similarity","medical sales representative","http://data.europa.eu/esco/occupation/ab762f91-d737-485f-a85c-67cab92dee01","0.8318","low_similarity","technical sales representative in office machinery and equipment","http://data.europa.eu/esco/occupation/e6c298a4-62de-4b62-b48e-c5fdca8f6071","0.8103","low_similarity","electricity sales representative","http://data.europa.eu/esco/occupation/4c6b3657-316e-43b5-872a-ea763411190d","0.8080","low_similarity","","no","0",""
"Junior and senior Sells and Marketer","ጁኒየር እና ከፍተኛ ሽያጭ እና ገበያተኛ","P","Business","Wholesale business in specialized stores","minilm","5","0.7618","low_similarity","commercial sales representative","http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2","0.7618","low_similarity","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","0.7591","low_similarity","market vendor","http://data.europa.eu/esco/occupation/c822ca35-6c36-4eab-97fa-90f2775091c3","0.7584","low_similarity","technical sales representative in chemical products","http://data.europa.eu/esco/occupation/bf2ca3bb-5fa5-41d9-a039-949cad61616d","0.7462","low_similarity","specialised seller","http://data.europa.eu/esco/occupation/547b304b-9a72-4717-9b24-b7046df5f64e","0.7436","low_similarity","","no","0",""
"Junior Anesthetist Professional","ጁኒየር ማደንዘዣ ባለሙ","P","Health","Health","minilm","5","0.8237","low_similarity","anaesthetic technician","http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b","0.8237","low_similarity","specialised doctor","http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac","0.8043","low_similarity","first aid instructor","http://data.europa.eu/esco/occupation/b560456a-bc4d-41a9-94c8-bf8636147246","0.7909","low_similarity","doctors' surgery assistant","http://data.europa.eu/esco/occupation/0c041d1e-1841-4acb-b0a1-2c387a61bf65","0.7859","low_similarity","physiologist","http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930","0.7850","low_similarity","","no","0",""
"junior architect","ጁኒየር አርክቴክት","P","Construction","Building Construction Contractor","minilm","5","0.9022","high_confidence","architect","http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b","0.9022","high_confidence","interior architect","http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7","0.8559","high_confidence","landscape architect","http://data.europa.eu/esco/occupation/52207284-2681-40d3-a317-ec81ca1b3e41","0.8179","low_similarity","naval architect","http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88","0.8158","low_similarity","house builder","http://data.europa.eu/esco/occupation/59cc9783-7289-4e1d-b80b-93c1776f49cc","0.8044","low_similarity","","no","0",""
"Junior Architect and Draftsman","ጁኒየር አርክቴክት እና ንድፍ አውጪ","P","Construction","Building Construction Contractor","minilm","5","0.8494","low_similarity","architectural drafter","http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a","0.8494","low_similarity","architect","http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b","0.8485","low_similarity","mechanical engineering drafter","http://data.europa.eu/esco/occupation/38240cc5-d1d9-4de9-9480-29c51da291eb","0.8348","low_similarity","aerospace engineering drafter","http://data.europa.eu/esco/occupation/1c9937fe-5eaa-4f7e-ba31-77e6e7db022c","0.8238","low_similarity","drafter","http://data.europa.eu/esco/occupation/a4869ae9-2dfe-48cc-bd97-f803880f3407","0.8154","low_similarity","","no","0",""
"Junior Architect/Civil Engineer","ጁኒየር አርክቴክት / ሲቪል መሐንዲስ","P","Construction","Building Construction Contractor","minilm","5","0.8803","high_confidence","civil engineer","http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360","0.8803","high_confidence","civil engineering worker","http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8","0.8512","high_confidence","architect","http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b","0.8433","low_similarity","construction engineer","http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617","0.8428","low_similarity","interior architect","http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7","0.8184","low_similarity","","no","0",""
