"sector","sub_sector","n_titles","mapping_decision","isco_code","isco_label","fallback_isco_3digit","confidence","rationale","raw_response"
"Business","Retail for agriculture, industry and construction and other utilities","3","no_map","","","","high","The sub-sector describes a broad commercial domain (retail) that encompasses diverse occupational groups including managers, sales assistants, clerks, and manual laborers, making it too broad for a single ISCO unit group mapping.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector describes a broad commercial domain (retail) that encompasses diverse occupational groups including managers, sales assistants, clerks, and manual laborers, making it too broad for a single ISCO unit group mapping."",
  ""fallback_isco_3digit"": null
}"
"Business","Retail of chemical and related products","2","no_map","","","","low","The sub-sector refers to a retail industry niche which encompasses a wide variety of distinct occupational categories including sales staff, managers, logistics workers, and potentially technical specialists, making it too broad to map to a single ISCO unit group.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector refers to a retail industry niche which encompasses a wide variety of distinct occupational categories including sales staff, managers, logistics workers, and potentially technical specialists, making it too broad to map to a single ISCO unit group."",
  ""fallback_isco_3digit"": null
}"
"Business","Retail trade in specialized stores","45","no_map","","","","high","Retail trade in specialized stores is an industry category that encompasses diverse occupations including managers, sales assistants, cashiers, and stock clerks, making it too broad for a single ISCO unit group mapping.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""Retail trade in specialized stores is an industry category that encompasses diverse occupations including managers, sales assistants, cashiers, and stock clerks, making it too broad for a single ISCO unit group mapping."",
  ""fallback_isco_3digit"": null
}"
"Business","Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories","8","no_map","","","","low","The sub-sector describes a retail business domain that encompasses several distinct ISCO roles including managers, shop sales assistants, and ICT technicians, making it too broad for a single 4-digit unit group.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector describes a retail business domain that encompasses several distinct ISCO roles including managers, shop sales assistants, and ICT technicians, making it too broad for a single 4-digit unit group."",
  ""fallback_isco_3digit"": null
}"
"Business","Textile Clothing Shoes & Leather Products Retail","2","no_map","","","","high","The sub-sector defines an industry domain (retail) that encompasses multiple distinct ISCO functional groups such as retail managers (1420) and shop sales assistants (5223).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector defines an industry domain (retail) that encompasses multiple distinct ISCO functional groups such as retail managers (1420) and shop sales assistants (5223)."",
  ""fallback_isco_3digit"": null
}"
"Business","Vehicle spare parts and accessories retail trade","12","map","5223","Shop sales assistants","522","high","The sub-sector identifies a specific retail trade domain, which is primarily staffed by shop salespersons and assistants categorized under ISCO minor group 522.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""5223"",
  ""isco_label"": ""Shop sales assistants"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector identifies a specific retail trade domain, which is primarily staffed by shop salespersons and assistants categorized under ISCO minor group 522."",
  ""fallback_isco_3digit"": ""522""
}"
"Business","Wholesale business in specialized stores","165","no_map","","","","low","The sub-sector describes an entire industry category (Wholesale) that encompasses diverse occupational groups including managers, sales representatives, buyers, and logistics workers, making it too broad for a single ISCO unit group.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector describes an entire industry category (Wholesale) that encompasses diverse occupational groups including managers, sales representatives, buyers, and logistics workers, making it too broad for a single ISCO unit group."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale of Telecommunication Equipment Computer, Computer Accessories, Accessories and Equipment","4","no_map","","","","high","The sub-sector describes an entire industry (wholesale of ICT equipment) which involves diverse occupational domains such as management, technical sales, logistics, and IT support, making it too broad to map to a single ISCO unit group.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector describes an entire industry (wholesale of ICT equipment) which involves diverse occupational domains such as management, technical sales, logistics, and IT support, making it too broad to map to a single ISCO unit group."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale of agricultural products for raw materials","5","no_map","","","","high","The sub-sector refers to an industry activity (wholesale trade) that encompasses multiple unrelated ISCO occupational domains, including management, procurement, sales, and logistics.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector refers to an industry activity (wholesale trade) that encompasses multiple unrelated ISCO occupational domains, including management, procurement, sales, and logistics."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale of chemical and chemical products","7","no_map","","","","high","The sub-sector refers to an industry category (wholesale trade) that encompasses a diverse range of occupations across different ISCO domains, including management, technical sales, logistics, and clerical support.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector refers to an industry category (wholesale trade) that encompasses a diverse range of occupations across different ISCO domains, including management, technical sales, logistics, and clerical support."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale of paper, plastic and scratch packaging, paper products and stationery","4","no_map","","","","high","The sub-sector describes a specific wholesale trade industry activity which encompasses a wide variety of distinct occupational roles such as managers, sales representatives, stock clerks, and freight handlers, making it too broad for a single ISCO unit group mapping.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector describes a specific wholesale trade industry activity which encompasses a wide variety of distinct occupational roles such as managers, sales representatives, stock clerks, and freight handlers, making it too broad for a single ISCO unit group mapping."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale of ready-made agricultural products","1","no_map","","","","high","The sub-sector describes an industry activity (Wholesale Trade) which employs a wide range of distinct occupations across different ISCO major groups, including managers, sales representatives, stock clerks, and freight handlers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector describes an industry activity (Wholesale Trade) which employs a wide range of distinct occupations across different ISCO major groups, including managers, sales representatives, stock clerks, and freight handlers."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale textiles, textiles, clothing, shoes and leather products","1","no_map","","","","high","This sub-sector refers to an entire industry segment that spans multiple distinct ISCO domains including management, sales, procurement, and logistics.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""This sub-sector refers to an entire industry segment that spans multiple distinct ISCO domains including management, sales, procurement, and logistics."",
  ""fallback_isco_3digit"": null
}"
"Business","Wholesale trade in livestock and animal products (excluding foodstuffs)","1","no_map","","","","high","Wholesale trade is an industry sub-sector that encompasses multiple distinct occupational categories, including managers (1420), buyers (3323), trade brokers (3324), and sales assistants (5223), which are distributed across different ISCO minor groups.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""Wholesale trade is an industry sub-sector that encompasses multiple distinct occupational categories, including managers (1420), buyers (3323), trade brokers (3324), and sales assistants (5223), which are distributed across different ISCO minor groups."",
  ""fallback_isco_3digit"": null
}"
"Business","Wildlife Businesses","1","no_map","","","","low","The sub-sector 'Wildlife Businesses' represents a broad industry domain covering scientific professionals, commercial managers, and skilled field workers like hunters and trappers, which are distributed across multiple unrelated ISCO major groups.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector 'Wildlife Businesses' represents a broad industry domain covering scientific professionals, commercial managers, and skilled field workers like hunters and trappers, which are distributed across multiple unrelated ISCO major groups."",
  ""fallback_isco_3digit"": null
}"
"Construction","Another unmentioned building Installation Work Contractor","1","no_map","","","","low","The sub-sector 'building installation' is too broad as it encompasses several distinct specialized trades such as plumbing, electrical installation, and HVAC, which map to different ISCO minor groups like 712 and 741.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector 'building installation' is too broad as it encompasses several distinct specialized trades such as plumbing, electrical installation, and HVAC, which map to different ISCO minor groups like 712 and 741."",
  ""fallback_isco_3digit"": null
}"
"Construction","Building Construction Contractor","18","no_map","","","","high","The sub-sector 'Building Construction Contractor' is too broad as it encompasses a wide range of distinct ISCO occupational groups across several major groups, including managers (1323), civil engineers (2142), construction supervisors (3123), various skilled trades (7111-7133), and laborers (9313).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Building Construction Contractor' is too broad as it encompasses a wide range of distinct ISCO occupational groups across several major groups, including managers (1323), civil engineers (2142), construction supervisors (3123), various skilled trades (7111-7133), and laborers (9313)."",
  ""fallback_isco_3digit"": null
}"
"Construction","Building finishing works","6","map","7123","Plasterers","712","high","The sub-sector 'Building finishing works' aligns directly with the scope of ISCO Minor Group 712 (Building finishers and related trades workers).","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7123"",
  ""isco_label"": ""Plasterers"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Building finishing works' aligns directly with the scope of ISCO Minor Group 712 (Building finishers and related trades workers)."",
  ""fallback_isco_3digit"": ""712""
}"
"Construction","Carpenter, builder, and other similar construction works","5","map","7111","House builders","711","high","The sub-sector explicitly names carpenters and builders, which are both unit groups under the 711 Minor Group for building frame and related trades workers.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7111"",
  ""isco_label"": ""House builders"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector explicitly names carpenters and builders, which are both unit groups under the 711 Minor Group for building frame and related trades workers."",
  ""fallback_isco_3digit"": ""711""
}"
"Construction","Construction land preparation","3","map","8342","Earthmoving and related plant operators","834","high","The sub-sector activities of land preparation are directly synonymous with the core tasks of excavating, grading, and leveling earth defined in ISCO unit group 8342.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""8342"",
  ""isco_label"": ""Earthmoving and related plant operators"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector activities of land preparation are directly synonymous with the core tasks of excavating, grading, and leveling earth defined in ISCO unit group 8342."",
  ""fallback_isco_3digit"": ""834""
}"
"Construction","Contractor of paint and decoration works","3","map","7131","Painters and related workers","713","high","The sub-sector refers specifically to the specialized construction trade of applying paint and decorative finishes, which corresponds exactly to ISCO unit group 7131.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7131"",
  ""isco_label"": ""Painters and related workers"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector refers specifically to the specialized construction trade of applying paint and decorative finishes, which corresponds exactly to ISCO unit group 7131."",
  ""fallback_isco_3digit"": ""713""
}"
"Construction","Electrical Works Contractor","4","map","7411","Building and related electricians","741","high","The sub-sector clearly identifies the domain of electrical installation and repair within the construction industry, which is the core function of the building and related electricians unit group.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7411"",
  ""isco_label"": ""Building and related electricians"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector clearly identifies the domain of electrical installation and repair within the construction industry, which is the core function of the building and related electricians unit group."",
  ""fallback_isco_3digit"": ""741""
}"
"Construction","Electro-Mechanical Contractor","7","no_map","","","","high","The sub-sector encompasses both electrical and mechanical installation domains, which are represented by distinct and separate ISCO groups such as 741 (Electrical) and 712 (Mechanical/Plumbing/HVAC) across multiple skill levels.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector encompasses both electrical and mechanical installation domains, which are represented by distinct and separate ISCO groups such as 741 (Electrical) and 712 (Mechanical/Plumbing/HVAC) across multiple skill levels."",
  ""fallback_isco_3digit"": null
}"
"Construction","General Contractor (Except for the from Water works contractor","38","no_map","","","","high","The sub-sector 'General Contractor' is an industry category that encompasses a wide range of distinct occupations across different ISCO major groups, including construction managers, supervisors, skilled trades workers, and laborers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'General Contractor' is an industry category that encompasses a wide range of distinct occupations across different ISCO major groups, including construction managers, supervisors, skilled trades workers, and laborers."",
  ""fallback_isco_3digit"": null
}"
"Construction","Irrigation system","4","no_map","","","","high","The sub-sector 'Irrigation system' within construction describes a domain that encompasses a wide range of distinct occupational levels including civil engineers, technicians, and manual laborers, which are located in separate ISCO Major Groups.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Irrigation system' within construction describes a domain that encompasses a wide range of distinct occupational levels including civil engineers, technicians, and manual laborers, which are located in separate ISCO Major Groups."",
  ""fallback_isco_3digit"": null
}"
"Construction","Plumbing Contractor","14","map","7126","Plumbers and pipe fitters","712","high","The sub-sector 'Plumbing Contractor' clearly identifies a domain specific to the installation and maintenance of pipe systems and plumbing fixtures, which is encapsulated by ISCO unit group 7126.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7126"",
  ""isco_label"": ""Plumbers and pipe fitters"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Plumbing Contractor' clearly identifies a domain specific to the installation and maintenance of pipe systems and plumbing fixtures, which is encapsulated by ISCO unit group 7126."",
  ""fallback_isco_3digit"": ""712""
}"
"Construction","Road Contractor","14","no_map","","","","high","The sub-sector 'Road Contractor' represents an industry domain that encompasses a wide variety of occupations across different skill levels, including managers, civil engineers, heavy equipment operators, and labourers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Road Contractor' represents an industry domain that encompasses a wide variety of occupations across different skill levels, including managers, civil engineers, heavy equipment operators, and labourers."",
  ""fallback_isco_3digit"": null
}"
"Construction","Sanitary Contractor and Expert","2","map","7126","Plumbers and pipe fitters","712","high","In the construction sector, 'sanitary' refers to the installation and maintenance of water supply, drainage, and sewerage systems, which is the primary domain of Plumbers and pipe fitters.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7126"",
  ""isco_label"": ""Plumbers and pipe fitters"",
  ""confidence"": ""high"",
  ""rationale"": ""In the construction sector, 'sanitary' refers to the installation and maintenance of water supply, drainage, and sewerage systems, which is the primary domain of Plumbers and pipe fitters."",
  ""fallback_isco_3digit"": ""712""
}"
"Construction","Soil research work","5","map","2114","Geologists and geophysicists","211","high","Soil research work in the construction sector specifically involves geotechnical and geological investigations conducted by professionals in the physical and earth sciences.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""2114"",
  ""isco_label"": ""Geologists and geophysicists"",
  ""confidence"": ""high"",
  ""rationale"": ""Soil research work in the construction sector specifically involves geotechnical and geological investigations conducted by professionals in the physical and earth sciences."",
  ""fallback_isco_3digit"": ""211""
}"
"Construction","Water Supply Prevention Service","2","no_map","","","","low","The sub-sector 'Water Supply Prevention Service' is ambiguous and potentially too broad, as the water supply domain within the construction sector encompasses multiple distinct ISCO groups including civil engineers (2142), water treatment plant operators (3132), and plumbers and pipe fitters (7126).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector 'Water Supply Prevention Service' is ambiguous and potentially too broad, as the water supply domain within the construction sector encompasses multiple distinct ISCO groups including civil engineers (2142), water treatment plant operators (3132), and plumbers and pipe fitters (7126)."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Building Construction","40","no_map","","","","high","Building Construction is a broad industrial sector encompassing a wide range of occupations across different ISCO major groups, including managers, engineers, skilled trades workers, and elementary laborers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""Building Construction is a broad industrial sector encompassing a wide range of occupations across different ISCO major groups, including managers, engineers, skilled trades workers, and elementary laborers."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Electro technology","7","no_map","","","","high","Electro technology is a broad technical domain spanning multiple ISCO major groups, including professionals (215), technicians (311), and craft/trade workers (741, 742).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""Electro technology is a broad technical domain spanning multiple ISCO major groups, including professionals (215), technicians (311), and craft/trade workers (741, 742)."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Energy","9","no_map","","","","high","The sub-sector 'Energy' encompasses a broad range of distinct occupational functions across multiple ISCO categories, including managers, engineers, plant operators, and electrical trades workers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Energy' encompasses a broad range of distinct occupational functions across multiple ISCO categories, including managers, engineers, plant operators, and electrical trades workers."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","ICT","10","no_map","","","","high","ICT is a broad economic domain covering multiple distinct ISCO-08 categories such as ICT managers, professional developers, network specialists, technicians, and installers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""ICT is a broad economic domain covering multiple distinct ISCO-08 categories such as ICT managers, professional developers, network specialists, technicians, and installers."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Land Administration & Management","1","no_map","","","","medium","Land administration and management encompasses distinct professional fields that are separated at the ISCO 4-digit level, specifically town and traffic planners (2164) and cartographers and surveyors (2165).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""medium"",
  ""rationale"": ""Land administration and management encompasses distinct professional fields that are separated at the ISCO 4-digit level, specifically town and traffic planners (2164) and cartographers and surveyors (2165)."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Legal Metrology","1","map","3359","Regulatory government associate professionals not elsewhere classified","335","high","Legal metrology involves the application of legal requirements to measurements and measuring instruments, typically performed by government inspectors and regulatory officials categorized under unit group 3359.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""3359"",
  ""isco_label"": ""Regulatory government associate professionals not elsewhere classified"",
  ""confidence"": ""high"",
  ""rationale"": ""Legal metrology involves the application of legal requirements to measurements and measuring instruments, typically performed by government inspectors and regulatory officials categorized under unit group 3359."",
  ""fallback_isco_3digit"": ""335""
}"
"Economic Infrastructure","Municipality","4","no_map","","","","high","A municipality is an organizational body encompassing a wide variety of diverse roles including urban planners, legislators, administrative clerks, and sanitation workers, making it too broad to map to a single ISCO unit group.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""A municipality is an organizational body encompassing a wide variety of diverse roles including urban planners, legislators, administrative clerks, and sanitation workers, making it too broad to map to a single ISCO unit group."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Road Construction","11","no_map","","","","high","Road Construction is an industrial sub-sector that encompasses a wide range of occupations across different skill levels, including civil engineers (2142), construction managers (1323), earthmoving plant operators (8342), and civil engineering labourers (9312).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""Road Construction is an industrial sub-sector that encompasses a wide range of occupations across different skill levels, including civil engineers (2142), construction managers (1323), earthmoving plant operators (8342), and civil engineering labourers (9312)."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Surveying & Drafting","13","no_map","","","","low","The sub-sector combines two distinct ISCO occupational categories—Cartographers and Surveyors (2165) and Draughtspersons (3118)—which are located in different major groups (Professionals vs. Technicians), making a single 4-digit map ambiguous.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""The sub-sector combines two distinct ISCO occupational categories—Cartographers and Surveyors (2165) and Draughtspersons (3118)—which are located in different major groups (Professionals vs. Technicians), making a single 4-digit map ambiguous."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","Water construction","9","no_map","","","","medium","The sub-sector 'Water construction' is too broad as it encompasses various distinct occupational groups including civil engineers (2142), plumbers and pipe fitters (7126), and civil engineering labourers (9312).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""medium"",
  ""rationale"": ""The sub-sector 'Water construction' is too broad as it encompasses various distinct occupational groups including civil engineers (2142), plumbers and pipe fitters (7126), and civil engineering labourers (9312)."",
  ""fallback_isco_3digit"": null
}"
"Economic Infrastructure","solar","2","no_map","","","","medium","The sub-sector 'solar' refers to an industry domain that encompasses multiple distinct ISCO occupational groups, including electrical engineers (2151), power production plant operators (3131), and electricians (7411).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""medium"",
  ""rationale"": ""The sub-sector 'solar' refers to an industry domain that encompasses multiple distinct ISCO occupational groups, including electrical engineers (2151), power production plant operators (3131), and electricians (7411)."",
  ""fallback_isco_3digit"": null
}"
"Education","other","34","no_map","","","","high","The sub-sector 'other' is a residual category that is too generic and ambiguous to map to a specific ISCO domain within the education sector.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'other' is a residual category that is too generic and ambiguous to map to a specific ISCO domain within the education sector."",
  ""fallback_isco_3digit"": null
}"
"Health","Health","250","no_map","","","","high","The sub-sector 'Health' is an industry-level category that encompasses multiple distinct ISCO domains, including managers, professionals, technicians, and support workers.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector 'Health' is an industry-level category that encompasses multiple distinct ISCO domains, including managers, professionals, technicians, and support workers."",
  ""fallback_isco_3digit"": null
}"
"ICT and digital work","Computer network cable installation works","3","map","7422","Information and communications technology installers and servicers","742","high","The sub-sector specifically describes the installation and maintenance of computer network cabling, which is the core function defined for ISCO unit group 7422.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""7422"",
  ""isco_label"": ""Information and communications technology installers and servicers"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector specifically describes the installation and maintenance of computer network cabling, which is the core function defined for ISCO unit group 7422."",
  ""fallback_isco_3digit"": ""742""
}"
