"ID","ORIGINURI","UUIDHISTORY","DEFINITION","SCOPENOTE","REUSELEVEL","SKILLTYPE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","ISLOCALIZED"
"687671b4ebd2bf665349a63b","http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d","285cdfd6-72a7-4653-8bff-a98659e98e5f
e076c9ae-e31d-47bf-9cff-a80840413520
02d38b73-bd79-4754-82e4-41a64af5ee02
747b05b5-740f-4146-805e-a7cfd900c99c
2510d0e8-857f-4df1-a92c-1cd66febe2c4","","","cross-sector","skill/competence","apply diplomatic principles","utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
apply diplomatic principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles","Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise.","false"
"687671b4ebd2bf665349a63c","http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831","f0135830-dbff-4f64-98de-e358eb5ae7e7
1b3e6ff1-3938-4fe4-9ace-ea24ac5759d8
90f16c26-d14c-4a24-8894-b1b1fb36c715
e0cacff1-4761-4684-935c-ebf5fb5e4181
0e443fe5-18df-46e5-a685-0d80545bede9","","","sector-specific","skill/competence","lead police investigations","supervise police investigations
manage police enquiries
supervise police enquiries
oversee police investigations
manage police investigations
lead police investigations
oversee police enquiries","Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff.","false"
"687671b4ebd2bf665349a63d","http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990","016bcd6f-b26c-45cd-89c9-c042db27c76e
af4c0103-0dfb-4cfb-bd86-5e148e7b6afe
49245161-321b-43bf-8a3d-1c856ba76380
e7468bac-5d6f-457c-95b4-4c7f8c984f1b
4ffd2049-99b4-4382-8abd-a983070527c2","","","sector-specific","skill/competence","handle fish harvesting waste","dispose of waste from fish harvesting
fish harvesting waste handling
handle fish harvesting waste
fish harvesting waste disposing
handling fish harvesting waste
dispose of fish harvesting waste","Dispose of waste, blood and inferior quality fish according to site waste management procedures.","false"
"687671b4ebd2bf665349a63e","http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c","adf8e97a-8897-4693-9b92-c0a4d8935e7f
8f43397b-6725-45e2-864c-4929f3ad82c7
941c3d5b-516c-4b6d-97e3-57148387ea86
00bd7587-9030-41a8-a5de-6c5243318d0a
a8c08e1c-7f05-4a09-824f-e310cfabd94c","","","cross-sector","skill/competence","develop energy saving concepts","developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing","Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.","false"
"687671b4ebd2bf665349a63f","http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3","31dd7242-1662-4ccb-a643-7083e7a71234
9a7f6f50-a3f6-4ea6-b2e8-8baba324b5ba
21d46016-44f2-4bec-a87c-7ca4a8f6c6fb
972d7f40-e9df-4e24-927e-cca637f8035d
c4622381-636a-4c70-a726-e65a5ee134bc","","","sector-specific","skill/competence","perform street interventions in social work","perform street interventions in social work
do street interventions in social work
perform street-intervention in social work
perform street intervention in social-work
perform street-intervention in social-work
conduct outreach activites
carry out street interventions in social work","Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people.","false"
"687671b4ebd2bf665349a640","http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330","cee407ce-af19-42fc-b6d1-ddba47c911f6
ac0b39ca-40ef-4a8e-b6be-b13d0034923c
cdb3e21a-49d9-4d02-afca-8abe7a74e1da
d89b5db1-368d-4ffa-b8ff-d68e2bc33746
30f15d81-655b-4928-b2c4-3476cdf34d15","","","sector-specific","skill/competence","work with soloists","collaborate with soloists
working with soloists
work with a soloist
work with soloists
communicate with solo artists","Communicate with solo artists and concert masters to discuss and prepare for performances.","false"
"687671b4ebd2bf665349a641","http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355","8c6af587-7c82-4761-b333-affd3a1bdd0a
eec367fa-c4ec-42d1-b285-d6fcc58219c8
876df5b0-7913-4a3f-b259-3fefa1b50f46
8c2aefa7-b214-49fe-940c-857f4decdd1c
d0e67cc4-e2ad-412f-bbb8-c33ee3825903","","","cross-sector","knowledge","sport and exercise medicine","sports injury treatment
sport and exercise medicine
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine","Prevention and treatement of injuries or conditions resulted from a physical activity or sport.","false"
"687671b4ebd2bf665349a642","http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05","9ab047be-a1ae-4770-95a5-68594322c9fd
adc1e385-e235-42df-bee9-a14c766a2aae
c6237ead-372a-4f6d-b173-1862b30ee985
dd737c17-b7ca-48dd-af8b-0bac408421b0
2fdb014e-db1a-443b-bd8b-c21516289398","","","sector-specific","skill/competence","conduct research on flora","carry out research on flora
flora research
conduct research on flora
perform research on flora
run research on flora
research on flora","Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.","false"
"687671b4ebd2bf665349a643","http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f","99a397e5-d625-4746-a754-59fc1fcd5c6f
b797ed8d-f064-4187-bced-6858213c55fc
33e32b22-7dde-4d78-b932-4ea689cf2c72
705b243f-156c-42ab-88fb-3ef4540ae046
34d5e99b-53fe-4438-ba5d-1b1cd7bd4088","","","cross-sector","skill/competence","install heat pump","install heat pump
installation of heat pumps
commission heat pumps
heat pump commissioning
installing heat pump
commissioning of heat pump
commission heat pump
heat pump installation
commissioning heat pump
commissioning heat pumps
installing heat pumps
installation of heat pump
commissioning of heat pumps
install heat pumps
heat pump installing","Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.","false"
"687671b4ebd2bf665349a644","http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e","e93d1e05-17dc-49d5-a44b-b6f459d8e37f
729af032-0b10-4b84-80ca-5821b479ee4e
eb733e26-a5fa-4d7b-9dfe-7f6175f81b54
303da139-e72e-43e1-b3d4-76d70bb06165
8cb88dd4-8357-43e3-997b-36f4346b0669","","","sector-specific","skill/competence","design biomass installations","design biomass installation
design biomass system
design biomass installations","Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.","false"
"687671b4ebd2bf665349a645","http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d","dff180d8-d030-4312-bd8e-a07d57d0020d
12016711-ba5b-467c-919f-0acacd57aadf
c391fc41-35ba-42f0-af48-9dc4858c5849
43637e79-83be-4658-aef3-39f334fdf9be
8058b249-f671-4ae9-8639-3c469cdef352","","","occupation-specific","skill/competence","handle equipment while suspended","using climbing equipment
equipment handling while suspended
handling of equipment while suspended
use climbing equipment while on a rope
use climbing equipment
using climbing equipment while on a rope
handling equipment while suspended
handle equipment while suspended","Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle.","false"
"687671b4ebd2bf665349a646","http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9","0ecb46a1-1716-4fe6-8712-562c0a8ed472
40e8bf1c-f3b0-4ca8-a1fb-a12e0ebcc5ee
162186cf-6d4c-4d91-9aa9-5cf29dd6737f
9066f1fb-c80f-464f-b4a3-3a0ba5a17f89
be403315-1662-415c-a032-6a12734514e4","","","cross-sector","skill/competence","teach housekeeping skills","teach housekeeping skills
teach house-keeping skills
teach house keeping skills
teach domestic science skills
teach skills for housekeeping
instruct on housekeeping skills
train on housekeeping skills
teach housekeeping skill","Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.","false"
"687671b4ebd2bf665349a647","http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0","efae1555-117b-4c7b-b450-4396eb4ad7d0
4c616677-8add-4d02-8bf6-6cc0e5145f3c
7cdbdd05-4805-45eb-a6b3-2914642c20c9
917b6e45-fee6-46f7-8e1d-20c6430bcb18
b1191f87-8d71-4e80-87ab-31029bc9c12b","","","sector-specific","skill/competence","check train engines","check train engines
check engines on trains meet regulations
check locomotive engines
check engines on locomotives
ensure train engines comply with regulations
ensure compliance of train engines with regulations
perform train engine compliance activities
check engines of trains
ensure train engines meet regulatory requirements
check train engines meet regulations
check engines on trains
ensure train engines comply with applicable regulations","Ensure that train engines comply with regulations before commencing a journey.","false"
"687671b4ebd2bf665349a648","http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb","3de06cf2-8105-48f3-a37f-d32235ae2302
afb48960-5214-41bd-a294-07d8c33f5ae3
b64aa174-5b17-4ad2-b3ab-ea8626b524df
f23fcd9c-251c-4e30-a542-85a04cdfe16d
b56eb4d3-eb32-4c23-80eb-213f12883fd2","","","cross-sector","skill/competence","influence public policies","lobbying for public policies
influence public policies","Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.","false"
"687671b4ebd2bf665349a649","http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e","a5453946-41e3-49b8-9964-c8d7ff123408
8323c904-94f1-46c2-857e-c01182ae66a9
e9c34a02-350c-498b-9cc1-42d2cf67391d
8cf15a7d-b428-4859-8b7e-31e852b77ef6
95dc23e2-cb93-4437-88ac-c1d616940846","","","sector-specific","knowledge","enterprise risk management","ERM
enterprise risk management","A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives.","false"
"687671b4ebd2bf665349a64a","http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613","42043200-e53b-42cb-b681-deafc9073ce9
803ce637-e06a-4e88-93a2-c95e9eb22fdf
a1ceb65a-3d47-41a0-b9f2-e3e71feb16b0
6c3569e2-0ce7-434c-855b-0fb54b688286
3a6e7812-b1ca-442e-befe-0fb2406ae013","","","sector-specific","skill/competence","manufacture ingredients","manufacture ingredients
ingredients manufacture
assemble ingredients
manufacture of ingredients
produce ingredients
construct ingredients
manufacture of an ingredient
fabricate ingredients","Manufacture ingredients such as spices, additives and vegetables.","false"
"687671b4ebd2bf665349a64b","http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb","081eb9af-e508-48ff-87fd-f04260bfe8ce
734c2b34-b3d2-4b0b-b224-2cdd3edd4287
0f8c2ba7-162a-4224-aeac-9b9ad3c66d8f
81da87fd-7444-41c6-a997-9f2afcbb61e3
2e79a9ef-4d38-416d-af7b-a2139abae3a5","","","occupation-specific","skill/competence","maintain aquaculture ponds","aquaculture pond maintaining
maintaining aquaculture ponds
cleaning aquaculture ponds
aquaculture pond cleaning
aquaculture ponds maintaining
pond maintaining in aquaculture
clean aquaculture ponds
maintain aquaculture ponds
aquaculture ponds cleaning
pond cleaning in aquaculture","Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units.","false"
"687671b4ebd2bf665349a64c","http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597","91512e24-8069-4178-9bf3-bb9b2aa15fd7
9a676236-0843-4f28-abf4-9d83e41a249f
3ee54975-2003-48c3-ad75-5629e775c531
dabdf4cb-c0b3-4f61-8631-01bae5109ad6
96cbb729-73c5-4ce0-9c0a-d3de1be46119","","","cross-sector","skill/competence","apply credit risk policy","administer credit risk policy
implement credit risk policy
employ credit risk policy
applying credit risk policy
apply a credit risk policy
apply credit risk policy
utilise credit risk policy
credit risk policy application","Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.","false"
"687671b4ebd2bf665349a64d","http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0","1a2a90be-b429-4940-9e4b-6b68fd0642eb
5e9d3081-9a7e-42cc-b7f8-4d9c685cb972
511f93f5-5602-404e-9ea7-387964acfccf
f6a92998-7f2f-48d0-8f1f-f4e300abbc6b
c4cf06d5-6048-45b0-a9d5-c57701a0d67c","","","occupation-specific","skill/competence","handle customer requests related to cargo","respond to customer freight requests
deal with customer requests related to cargo
handle customer requests related to cargo
respond to customer cargo requests
handle requests of customers related to cargo
address requests made by customers in relation to cargo
address customer requests in relation to shipments
handle customer requests related to freight
deal with requests of customers related to cargo
deal with customer requests related to freight
respond to customer requests in relation to cargo
handle requests of customers related to freight","Handle requests of port users and customers in the field of containers, shipping arrangements or cargo.","false"
"687671b4ebd2bf665349a64e","http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f","7bebbc66-07a5-4b78-b505-5cdd03c4b83d
e4133e4b-fb78-4498-8646-0ad2e284fcf5
b8e309be-0ad4-4743-baf3-be6b7b51e393
43a1c120-9ab1-4c1e-aa70-15a5e5ed94b5
f841050a-a14e-4230-a801-f4222a09b696","","","cross-sector","skill/competence","draft scientific or academic papers and technical documentation","draft scientific or academic papers and technical documentation","Draft and edit scientific, academic or technical texts on different subjects.","false"
"687671b4ebd2bf665349a64f","http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876","a17c6d6b-68d1-45ad-ad86-4349083a5fe3
54f43767-51c6-4305-8f53-35ada12474de
ba91951c-9f3c-4e73-b89a-de9fb4b966ba
fef6ee28-148d-409e-bb33-dc7ed03d6c67
8c599076-f716-4210-ac60-55e021ac0131","","","sector-specific","knowledge","Incremental development","Incremental development","The incremental development model is a methodology to design software systems and applications.","false"
"687671b4ebd2bf665349a650","http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203","94b1c125-5672-440d-a70e-58080b3e16f0
8f632eb2-949e-48ee-82bb-e1aec4531bae
3bef6fcc-86c1-419f-a5fb-11168a068f93
b37b4b5c-279f-4d26-8df9-f00fd3dc67c8
b769d998-31cf-495e-8e73-ae91d4aa45f2","","","occupation-specific","knowledge","use of special equipment for daily activities","use of special equipment for daily activities","The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs.","false"
"687671b4ebd2bf665349a651","http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe","b7727dbc-a7c0-46c1-9473-12fce9403d26
1703e5aa-6fff-4623-878e-be3749aa9dd9
d478f77f-e824-4125-8ddc-9d416f0ba58b
d4d79a8c-8423-4ddb-9b4b-015cc461078f
b4ef66b6-efad-4501-bb1a-6fede15e22f8","","","sector-specific","knowledge","sawing techniques","sawing technologies
sawing methods
sawing technique
sawing procedures
sawing tech
sawing techniques","Various sawing techniques for using manual as well as electric saws.","false"
"687671b4ebd2bf665349a652","http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8","9cdf2b45-a695-491a-babc-dce8571f4426
ce5a98dc-4327-44bc-af24-1d842a851d4c
d5690d11-e5b6-4951-a4b1-065bc1f3c8f9
0c3020cd-703b-412f-ba91-dc9bc5829305
728a012f-bc5f-4064-b7ae-671fb5c81897","","","sector-specific","skill/competence","produce guitar components","build guitar components
make guitar components
producing guitar components
construct guitar components
produce a guitar component
produce guitar components
erect guitar components","Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge.","false"
"687671b4ebd2bf665349a653","http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce","56fbedc8-6c2a-48c0-bea7-366999d4a8a9
4c9a0c21-648a-4be8-9f89-8c72910327b3
6f403dd2-f471-4684-af5b-c37b70ba3aa7
20870308-f50f-419d-8543-bb39d37c9bde
e4dd9b87-1d4c-443f-837b-fb2599c6a3f8","","","sector-specific","skill/competence","operate agricultural machinery","farm machinery operating
operating motorised agricultural machinery
operating agricultural machinery
operate farm machinery
operating farm machinery
motorised agricultural machinery operating
agricultural machinery operating
operating motorised farm machinery
motorised farm machinery operating
operate agricultural machinery
operate motorised agricultural machinery","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment.","false"
"687671b4ebd2bf665349a654","http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8","a3f35b73-a34e-4363-90db-90d9b181e119
c7024660-0f89-404b-861d-b90b06f23bce
afeec63e-e8c1-498a-8074-886e8d077d68
0eb2390d-6035-4353-a792-98d14f715396
be71ffb5-addf-46d2-aa0f-976554f5c2f0","","","occupation-specific","skill/competence","control pyrotechnics stock","controlling pyrotechnics stock
pyrotechnics stock controlling
manage pyrotechnics stock
control pyrotechnics stock
pyrotechnics stock managing
control stock of pyrotechnics
managing pyrotechnics stock","Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing.","false"
"687671b4ebd2bf665349a655","http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00","25b5b197-1e67-4dfe-9836-c825b9457b89
c689818c-e690-47da-91b7-4f0a413410ff
57ec5c36-2a1d-4cdf-ae91-f5866e858e7b
4bddd78f-d32a-4fcf-b813-a95a6c8fe7b5
79c62a58-9da0-4df5-9431-8a803fe243ac","","","sector-specific","skill/competence","guarantee customer satisfaction","to guarantee customer satisfaction
ensure customer satisfaction
provide customer satisfaction
customer satisfaction guarantee
guaranteeing customer satisfaction
guarantee customer satisfaction
promise customer satisfaction
assure customer satisfaction","Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty.","false"
"687671b4ebd2bf665349a656","http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982","6f44a933-bffe-4583-bae9-090036b04d65
8d78b749-b545-47e9-9b37-1536bf1e9543
c8bfcfe4-1231-448e-b7dc-46b954c7f2e9
0bbca978-feb0-4f49-bab7-3c6ef2e5d9c0
b8a08104-8271-4cda-ac4a-20667745bade","","","sector-specific","skill/competence","manufacture wearing apparel products","manufacture wearing apparel products
assemble wearing apparel components
manufacture clothing
manufacture clothing products
manufacture garments
assemble garment components
assemble clothing components
manufacture wearing apparel","Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets.","false"
"687671b4ebd2bf665349a657","http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000","0705c2fd-3305-4d6e-b052-12c8cab4e4de
ba6283e9-ea22-40ac-a184-823c14fb6425
3a480962-34db-4682-be45-dbae3ebae54b
0b0d0a0b-14c4-4621-9827-a90e2d28b5de
b624a02a-7389-4c68-a23d-fdd86aec1a01","","","sector-specific","skill/competence","cure tobacco leaves","cure a tobacco leaf
temper tobacco leaves
dry tobacco leaves
preserve tobacco leaves
smoke tobacco leaves
cure tobacco leaves
curing tobacco leaves","Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing.","false"
"687671b4ebd2bf665349a658","http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696","08a89e64-adbb-4623-97e9-08e1c1545106
e6e56abb-cc95-4695-9f93-efe2cf9f580f
29aea6e9-c16f-41af-afe2-c253abfbd35a
e7736ffa-4e45-4ab6-b7ab-acc211ac737b
c44f8424-d396-46c1-8a75-bcfa910651dd","","","cross-sector","skill/competence","develop a rehabilitation programme","design a rehabilitation programme
compile a rehabilitation plan
develop a rehabilitation program
set up rehabilitation plan
develop rehabilitation programmes
develop rehabilitation programs
develop a rehabilitation programme","Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.","false"
